Country,Deaths
Afghanistan,6677
Albania,2457
Algeria,4219
Andorra,128
Angola,1008
Antigua and Barbuda,43
Argentina,105586
Armenia,4608
Australia,924
Austria,10737
Azerbaijan,5022
Bahamas,286
Bahrain,1384
Bangladesh,20467
Barbados,48
Belarus,3445
Belgium,25241
Belize,337
Benin,108
Bhutan,2
Bolivia,17784
Bosnia and Herzegovina,9687
Botswana,1569
Brazil,555460
Brunei,3
Bulgaria,18211
Burkina Faso,169
Burma,8942
Burundi,9
Cabo Verde,298
Cambodia,1375
Cameroon,1334
Canada,26553
Central African Republic,98
Chad,174
Chile,35366
China,4848
Colombia,120432
Comoros,147
Congo (Brazzaville),178
Congo (Kinshasa),1023
Costa Rica,5030
Cote d'Ivoire,328
Croatia,8254
Cuba,2693
Cyprus,419
Czechia,30363
Denmark,2549
Diamond Princess,13
Djibouti,156
Dominican Republic,3956
Ecuador,31591
Egypt,16518
El Salvador,2613
Equatorial Guinea,123
Eritrea,34
Estonia,1272
Eswatini,779
Ethiopia,4383
Fiji,233
Finland,984
France,112011
Gabon,164
Gambia,212
Georgia,5793
Germany,91663
Ghana,823
Greece,12923
Grenada,1
Guatemala,10289
Guinea,214
Guinea-Bissau,75
Guyana,535
Haiti,545
Honduras,7834
Hungary,30026
Iceland,30
India,423810
Indonesia,92311
Iran,90344
Iraq,18595
Ireland,5035
Israel,6469
Italy,128047
Jamaica,1187
Japan,15197
Jordan,10020
Kazakhstan,5866
Kenya,3926
"Korea, South",2095
Kosovo,2269
Kuwait,2314
Kyrgyzstan,2311
Laos,6
Latvia,2556
Lebanon,7903
Lesotho,374
Liberia,148
Libya,3509
Liechtenstein,59
Lithuania,4413
Luxembourg,822
Madagascar,943
Malawi,1614
Malaysia,8725
Maldives,221
Mali,532
Malta,423
Mauritania,558
Mauritius,19
Mexico,240456
Moldova,6255
Monaco,33
Mongolia,809
Montenegro,1629
Morocco,9732
Mozambique,1407
MS Zaandam,2
Namibia,2999
Nepal,9834
Netherlands,18108
New Zealand,26
Nicaragua,195
Niger,195
Nigeria,2149
North Macedonia,5493
Norway,799
Oman,3814
Pakistan,23360
Panama,6808
Papua New Guinea,192
Paraguay,14929
Peru,196214
Philippines,27722
Poland,75259
Portugal,17344
Qatar,601
Romania,34278
Russia,155180
Rwanda,798
Saint Kitts and Nevis,3
Saint Lucia,89
Saint Vincent and the Grenadines,12
San Marino,90
Sao Tome and Principe,37
Saudi Arabia,8200
Senegal,1333
Serbia,7112
Seychelles,94
Sierra Leone,120
Singapore,37
Slovakia,12536
Slovenia,4428
Somalia,809
South Africa,71679
South Sudan,119
Spain,81486
Sri Lanka,4380
Sudan,2776
Suriname,645
Sweden,14655
Switzerland,10905
Syria,1913
Taiwan*,787
Tajikistan,121
Tanzania,21
Thailand,4679
Timor-Leste,26
Togo,152
Trinidad and Tobago,1070
Tunisia,19503
Turkey,51253
Uganda,2661
Ukraine,55521
United Arab Emirates,1943
United Kingdom,129877
Uruguay,5959
US,613013
Uzbekistan,866
Vanuatu,1
Venezuela,3576
Vietnam,1161
West Bank and Gaza,3601
Yemen,1375
Zambia,3376
Zimbabwe,3490
